"month","type","mean_price"
"01","conventional",1.06909465020576
"01","organic",1.55294238683128
"02","conventional",1.01731481481481
"02","organic",1.53145833333333
"03","conventional",1.1262091503268
"03","organic",1.53830065359477
"04","conventional",1.14235042735043
"04","organic",1.60641025641026
"05","conventional",1.08957671957672
"05","organic",1.60362433862434
"06","conventional",1.1491975308642
"06","organic",1.66953560371517
"07","conventional",1.21248677248677
"07","organic",1.71166666666667
"08","conventional",1.23539886039886
"08","organic",1.78962962962963
"09","conventional",1.29473765432099
"09","organic",1.85057098765432
"10","conventional",1.34933862433862
"10","organic",1.81002645502646
"11","conventional",1.20605413105413
"11","organic",1.70507122507122
"12","conventional",1.07739316239316
"12","organic",1.58519258202568
